Month,Day,year,Date,Solar,Wind,Total_Load,MMGD,Total_Gen,Hidraulica,Termica,Biomassa,Nuclear,interval_start_local,interval_end_local
1.0,1.0,0.0,2023-01-01 00:00:00,0.801560223102569,14265.7990039062,58439.5400520833,0.0,58916.0,39692.532482870694,2060.544991,1056.399446,1839.922516,2023-01-01 00:00:00-0600,2023-01-01 01:00:00-0600
1.0,1.0,1.0,2023-01-01 01:00:00,0.905913710594177,13703.7769026692,58995.8872265625,0.0,59163.0,40497.20579862021,2088.813853,1029.85515099999,1842.442381,2023-01-01 01:00:00-0600,2023-01-01 02:00:00-0600
1.0,1.0,2.0,2023-01-01 02:00:00,0.589138147234916,13769.0088932291,58483.0254622395,0.0,58306.0,39552.372836623676,2092.778282,1047.075262,1844.175588,2023-01-01 02:00:00-0600,2023-01-01 03:00:00-0600
1.0,1.0,3.0,2023-01-01 03:00:00,0.374324439366658,13263.1526611328,57306.6346875,0.0,57015.0,38779.648795427835,2094.984978,1032.206407,1844.632834,2023-01-01 03:00:00-0600,2023-01-01 04:00:00-0600
1.0,1.0,4.0,2023-01-01 04:00:00,0.405364006161689,12987.0860758463,56157.0439973958,0.0,56044.0,38034.14642414753,2110.684171,1064.157699,1847.520266,2023-01-01 04:00:00-0600,2023-01-01 05:00:00-0600
1.0,1.0,5.0,2023-01-01 05:00:00,0.25265514075756,12620.519243164,54808.063203125,0.0,53220.0,35571.79094869524,2121.885656,1060.569538,1844.981959,2023-01-01 05:00:00-0600,2023-01-01 06:00:00-0600
1.0,1.0,6.0,2023-01-01 06:00:00,538.67797958374,11570.1828043619,51003.3452473958,0.0,50424.0,33290.17494305436,2114.489121,1069.320587,1841.154565,2023-01-01 06:00:00-0600,2023-01-01 07:00:00-0600
1.0,1.0,7.0,2023-01-01 07:00:00,3143.60631306966,10904.1398616536,49144.5167773437,0.0,48668.0,29646.86773027674,2104.587164,1034.475575,1834.323356,2023-01-01 07:00:00-0600,2023-01-01 08:00:00-0600
1.0,1.0,8.0,2023-01-01 08:00:00,4045.12216349283,11425.9714860026,47496.4719270833,0.0,47220.0,26762.91013550458,2071.304722,1082.83738199999,1831.854111,2023-01-01 08:00:00-0600,2023-01-01 09:00:00-0600
1.0,1.0,9.0,2023-01-01 09:00:00,4282.78064534505,10240.662985026,46049.246484375,0.0,46390.0,26921.676030628947,2017.385954,1094.508576,1832.985809,2023-01-01 09:00:00-0600,2023-01-01 10:00:00-0600
1.0,1.0,10.0,2023-01-01 10:00:00,4271.99522949218,9585.65040201823,46120.8252148437,0.0,46693.0,27945.76057148959,2005.339087,1051.595592,1832.659118,2023-01-01 10:00:00-0600,2023-01-01 11:00:00-0600
1.0,1.0,11.0,2023-01-01 11:00:00,4157.91522013346,9317.0049625651,47012.3084830729,0.0,47458.0,29082.659213301453,1987.088771,1081.35341699999,1831.978416,2023-01-01 11:00:00-0600,2023-01-01 12:00:00-0600
1.0,1.0,12.0,2023-01-01 12:00:00,4132.35725301106,9155.24835774739,47355.2485351562,0.0,47741.0,29521.539212241565,1972.89077,1126.51898599999,1832.445421,2023-01-01 12:00:00-0600,2023-01-01 13:00:00-0600
1.0,1.0,13.0,2023-01-01 13:00:00,4565.59133382161,9186.73555826822,47427.4063476562,0.0,47800.0,29141.40067591017,1959.791443,1115.339514,1831.141475,2023-01-01 13:00:00-0600,2023-01-01 14:00:00-0600
1.0,1.0,14.0,2023-01-01 14:00:00,4495.54046386718,9480.36295247395,48248.1103059895,0.0,49114.0,30246.613933658864,1966.411124,1093.165527,1831.905999,2023-01-01 14:00:00-0600,2023-01-01 15:00:00-0600
1.0,1.0,15.0,2023-01-01 15:00:00,4100.24798461914,9661.14201334635,50064.2856510416,0.0,51431.0,32781.750478034504,1969.738394,1084.335395,1833.785735,2023-01-01 15:00:00-0600,2023-01-01 16:00:00-0600
1.0,1.0,16.0,2023-01-01 16:00:00,3718.92053466796,9895.07854329427,53017.3874348958,0.0,54843.0,36327.56555203777,1979.594793,1085.600304,1836.240273,2023-01-01 16:00:00-0600,2023-01-01 17:00:00-0600
1.0,1.0,17.0,2023-01-01 17:00:00,2208.10481750488,9625.35665527343,57057.7315234375,0.0,59171.0,42408.415631221695,1980.929617,1107.523878,1840.669401,2023-01-01 17:00:00-0600,2023-01-01 18:00:00-0600
1.0,1.0,18.0,2023-01-01 18:00:00,210.529659652709,9269.03862141927,62506.3754036458,0.0,64875.0,50472.05448892803,1979.827635,1102.01049399999,1841.539101,2023-01-01 18:00:00-0600,2023-01-01 19:00:00-0600
